,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Annual operating incentive ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Incidental revenue ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Credit card fees ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales tax ($/year),-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Road tax ($/year),-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Total revenue ($/year),0.0,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486
Total feedstock/utilities cost ($/year),0.0,16340606.315604454,16896187.21919906,17470656.943373628,18064659.6549716,18678856.85267976,19313938.92159041,19970610.68999863,20649611.649886142,21351698.62507799,22077657.32580474,22828296.57142141,23604459.844969645,24407010.84997497,25236850.842290115,26094901.298251666,26982129.912445076,27899521.71129913,28848105.050850905,29828940.06218357,30843124.428707488,31891790.497519672,32976111.05668488,34097299.33523562,35256609.00317216,36455334.1714625,37694815.16932351,38976438.54422093,40301637.06186933,41671892.5948727,43088736.12272445
Labor ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total annual maintenance ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rent of land ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Property insurance ($/year),0.0,17346483.140628032,12394300.691245917,8856367.266139047,6330592.456444856,4308586.090038253,2288890.5880503985,266884.22164379596,2283933.4269548715,1635623.515759635,1172458.572203915,841799.3407823574,577090.4409709561,312684.0656164813,47975.16580507994,2283933.4269548715,1635623.515759635,1172458.572203915,841799.3407823574,577090.4409709561,312684.0656164813,47975.16580507994,2283933.4269548715,1635623.515759635,1172458.572203915,841799.3407823574,577090.4409709561,312684.0656164813,47975.16580507994,2283933.426954875,1635623.515759635
Licensing & permitting ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Administrative expense ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOPC revenue ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electrolyzer Fixed O&M Cost expenses ($/year),32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097,32925985.047892097
Hydrogen Storage Fixed O&M Cost expenses ($/year),6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854,6517706.148364854
Electricity from grid expenses ($/year),254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0,254040000.0
Total operating expense ($/year),0.0,327170780.6524894,322774179.1067019,319810715.4057696,317878943.3076734,316471134.13897496,315086520.70589775,313721186.10789937,316417236.27309793,316471013.33709455,316733807.0942656,317153787.1084607,317665241.4821975,318203386.1118484,318768517.20435214,321862525.9214635,322101444.62446165,322555671.47976,323173595.5878902,323889721.69941145,324639499.6905809,325423456.8595817,328743735.6798967,329216614.0472522,329912758.771633,330780824.7085018,331755596.8065514,332772813.80609435,333833303.42393136,337439517.2180845,338208050.834741
EBITD ($/year),0.0,185947042.38809544,190343643.93388295,193307107.63481528,195238879.73291147,196646688.9016099,198031302.3346871,199396636.9326855,196700586.76748693,196646809.70349032,196384015.94631928,195964035.93212414,195452581.55838734,194914436.92873645,194349305.83623272,191255297.11912137,191016378.4161232,190562151.56082487,189944227.45269465,189228101.3411734,188478323.35000396,187694366.18100315,184374087.36068815,183901208.99333268,183205064.26895183,182336998.33208305,181362226.23403347,180345009.2344905,179284519.6166535,175678305.82250035,174909772.20584387
Interest on outstanding debt ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation ($/year),0.0,385144069.7917341,330145496.62547445,235862228.340458,168384987.31294617,134800424.42710692,134646366.79919025,134800424.42710692,67213024.2641389,43220660.74634918,30877662.9037147,22043948.761437077,17647259.987426754,17627091.69029827,17647259.987426754,52619087.20822446,43220660.74634918,30877662.9037147,22043948.761437077,17647259.987426754,17627091.69029827,17647259.987426754,52619087.20822446,43220660.74634918,30877662.9037147,22043948.761437077,17647259.987426754,17627091.69029827,17647259.987426754,52619087.20822446,43220660.74634918
Taxable income ($/year),0.0,-199197027.40363866,-139801852.6915915,-42555120.70564273,26853892.419965297,61846264.47450298,63384935.53549686,64596212.50557858,129487562.50334802,153426148.95714113,165506353.04260457,173920087.17068705,177805321.57096058,177287345.2384382,176702045.84880596,138636209.9108969,147795717.66977403,159684488.65711015,167900278.69125757,171580841.35374665,170851231.6597057,170047106.1935764,131755000.15246369,140680548.2469835,152327401.36523712,160293049.57064596,163714966.2466067,162717917.54419225,161637259.62922674,123059218.61427589,131689111.45949468
Remaining available deferred carry-forward tax losses ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Income taxes payable ($/year),0.0,-51273314.85369659,-35984996.88281565,-10953688.069632439,6912191.908899068,15919228.475737069,16315282.406836893,16627065.098935926,33330098.588361785,39491890.74156813,42601335.27316642,44767030.43773485,45767089.77236526,45633762.664373994,45483106.60148266,35684960.43106487,38042617.72819984,41102787.38034016,43217531.7351297,44164908.56445439,43977107.02920825,43770125.13422657,33913737.03924415,36211173.11877356,39209073.11141203,41259430.95948427,42140232.31187657,41883591.97587509,41605430.628562964,31675442.871314615,33896777.28967393
Income before extraordinary items ($/year),0.0,-147923712.54994208,-103816855.80877584,-31601432.63601029,19941700.51106623,45927035.998765916,47069653.12865996,47969147.40664265,96157463.91498624,113934258.215573,122905017.76943815,129153056.7329522,132038231.79859532,131653582.5740642,131218939.2473233,102951249.47983202,109753099.94157419,118581701.27677,124682746.95612787,127415932.78929226,126874124.63049746,126276981.05934983,97841263.11321953,104469375.12820995,113118328.25382508,119033618.61116168,121574733.93473014,120834325.56831717,120031829.00066379,91383775.74296127,97792334.16982076
Sale of non-depreciable assets ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109041567.717309
Net capital gains or loss ($/year),-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109041567.717309
Capital gains taxes payable ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net income ($/year),0.0,-147923712.54994208,-103816855.80877584,-31601432.63601029,19941700.51106623,45927035.998765916,47069653.12865996,47969147.40664265,96157463.91498624,113934258.215573,122905017.76943815,129153056.7329522,132038231.79859532,131653582.5740642,131218939.2473233,102951249.47983202,109753099.94157419,118581701.27677,124682746.95612787,127415932.78929226,126874124.63049746,126276981.05934983,97841263.11321953,104469375.12820995,113118328.25382508,119033618.61116168,121574733.93473014,120834325.56831717,120031829.00066379,91383775.74296127,206833901.88712975
Net annual operating cash flow ($/year),0.0,237220357.24179202,226328640.8166986,204260795.70444772,188326687.8240124,180727460.42587283,181716019.92785022,182769571.83374956,163370488.17912513,157154918.96192217,153782680.67315286,151197005.4943893,149685491.78602207,149280674.26436245,148866199.23475006,155570336.68805647,152973760.68792337,149459364.1804847,146726695.71756494,145063192.776719,144501216.3207957,143924241.0467766,150460350.32144397,147690035.87455913,143995991.15753978,141077567.37259877,139221993.9221569,138461417.25861543,137679088.98809054,144002862.95118573,250054562.63347894
Capital expenditure for Electrolysis System ($/year),1344553141.8991814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201682971.2848772,0.0,0.0,0.0,0.0,0.0,0.0,201682971.2848772,0.0,0.0,0.0,0.0,0.0,0.0,201682971.2848772,0.0,0.0,0.0,0.0,0.0,0.0,201682971.2848772,0.0
Capital expenditure for Hydrogen Storage System ($/year),196023137.26775512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Expenditure for non-depreciable fixed assets ($/year),-1000000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Capital expenditures for equipment installation ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total capital expenditures ($/year),1541576279.1669364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201682971.2848772,0.0,0.0,0.0,0.0,0.0,0.0,201682971.2848772,0.0,0.0,0.0,0.0,0.0,0.0,201682971.2848772,0.0,0.0,0.0,0.0,0.0,0.0,201682971.2848772,0.0
Incurrence of debt ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Repayment of debt ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Inflow of equity ($/year),1541576279.1669364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39929073.41030413,0.0,0.0,0.0,0.0,0.0,0.0,45553956.47571188,0.0,0.0,0.0,0.0,0.0,0.0,50677945.19054428,0.0,0.0,0.0,0.0,0.0,0.0,57153127.17010021,0.0
Dividends paid ($/year),0.0,-214228901.7585593,-225420997.78127417,-202421808.61176014,-186998845.50064278,-180094191.47602788,-181798399.88634834,-182857367.82590783,0.0,-156636954.8604886,-153501660.81575543,-150981532.56282568,-149559532.3103248,-149246939.47089082,-148831659.64894903,0.0,-152757379.35457894,-149166497.80486482,-146498973.34565496,-144924567.53164852,-144454384.94946876,-143876159.77394167,0.0,-147459176.33731872,-143688154.09778818,-140834365.39052033,-139067362.80128676,-138398035.86998698,-137613894.9655468,0.0,-280814142.64092886
One-time capital incentive ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash for financing activities ($/year),1541576279.1669364,-214228901.7585593,-225420997.78127417,-202421808.61176014,-186998845.50064278,-180094191.47602788,-181798399.88634834,-182857367.82590783,39929073.41030413,-156636954.8604886,-153501660.81575543,-150981532.56282568,-149559532.3103248,-149246939.47089082,-148831659.64894903,45553956.47571188,-152757379.35457894,-149166497.80486482,-146498973.34565496,-144924567.53164852,-144454384.94946876,-143876159.77394167,50677945.19054428,-147459176.33731872,-143688154.09778818,-140834365.39052033,-139067362.80128676,-138398035.86998698,-137613894.9655468,57153127.17010021,-280814142.64092886
Net change of cash ($/year),0.0,22991455.483232737,907643.0354244523,1838987.092687577,1327842.3233696073,633268.9498449638,-82379.95849812031,-87795.99215827882,1616590.304552041,517964.1014335789,281019.8573974408,215472.9315636307,125959.47569727153,33734.79347163439,34539.585801027715,-558678.1211088672,216381.33334442973,292866.3756198883,227722.37190997973,138625.245070491,46831.37132694572,48081.272834926844,-544675.772888951,230859.53724040836,307837.0597516075,243201.98207841814,154631.12087015808,63381.388628453016,65194.02254374325,-526981.1635912694,-30759580.007449925
Cumulative cash ($/year),0.0,22991455.483232737,23899098.51865719,25738085.611344766,27065927.934714373,27699196.884559337,27616816.926061217,27529020.933902938,29145611.23845498,29663575.339888558,29944595.197286,30160068.12884963,30286027.6045469,30319762.398018535,30354301.983819563,29795623.862710696,30012005.196055125,30304871.571675014,30532593.943584993,30671219.188655484,30718050.55998243,30766131.832817357,30221456.059928406,30452315.597168814,30760152.656920422,31003354.63899884,31157985.759868998,31221367.14849745,31286561.171041194,30759580.007449925,0.0
Cumulative PP&E ($/year),1541576279.1669364,1541576279.1669364,1541576279.1669364,1541576279.1669364,1541576279.1669364,1541576279.1669364,1541576279.1669364,1541576279.1669364,1743259250.4518137,1743259250.4518137,1743259250.4518137,1743259250.4518137,1743259250.4518137,1743259250.4518137,1743259250.4518137,1944942221.736691,1944942221.736691,1944942221.736691,1944942221.736691,1944942221.736691,1944942221.736691,1944942221.736691,2146625193.0215683,2146625193.0215683,2146625193.0215683,2146625193.0215683,2146625193.0215683,2146625193.0215683,2146625193.0215683,2348308164.3064456,2348308164.3064456
Cumulative depreciation ($/year),-0.0,-385144069.7917341,-715289566.4172086,-951151794.7576666,-1119536782.0706127,-1254337206.4977195,-1388983573.2969098,-1523783997.7240167,-1590997021.9881556,-1634217682.7345047,-1665095345.6382194,-1687139294.3996565,-1704786554.3870833,-1722413646.0773816,-1740060906.0648084,-1792679993.273033,-1835900654.019382,-1866778316.9230967,-1888822265.6845338,-1906469525.6719606,-1924096617.362259,-1941743877.3496857,-1994362964.5579102,-2037583625.3042593,-2068461288.207974,-2090505236.9694111,-2108152496.956838,-2125779588.6471362,-2143426848.634563,-2196045935.8427873,-2239266596.5891366
Net PP&E ($/year),1541576279.1669364,1156432209.3752022,826286712.7497278,590424484.4092698,422039497.0963237,287239072.6692169,152592705.8700266,17792281.44291973,152262228.4636581,109041567.717309,78163904.81359434,56119956.05215716,38472696.064730406,20845604.374432087,3198344.387005329,152262228.4636581,109041567.717309,78163904.81359434,56119956.05215716,38472696.064730406,20845604.374432087,3198344.387005329,152262228.4636581,109041567.717309,78163904.81359434,56119956.05215716,38472696.064730406,20845604.374432087,3198344.387005329,152262228.46365833,109041567.717309
Cumulative deferred tax losses ($/year),0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Total assets ($/year),1541576279.1669364,1179423664.858435,850185811.268385,616162570.0206146,449105425.0310381,314938269.5537762,180209522.7960878,45321302.376822665,181407839.70211306,138705143.05719757,108108500.01088034,86280024.18100679,68758723.66927731,51165366.772450626,33552646.370824892,182057852.32636878,139053572.9133641,108468776.38526936,86652549.99574216,69143915.25338589,51563654.93441452,33964476.21982269,182483684.5235865,139493883.3144778,108924057.47051476,87123310.691156,69630681.8245994,52066971.522929534,34484905.55804652,183021808.47110826,109041567.717309
Cumulative debt ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total liabilities ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumulative capital incentives equity ($/year),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumulative investor equity ($/year),1541576279.1669364,1541576279.1669364,1541576279.1669364,1541576279.1669364,1541576279.1669364,1541576279.1669364,1541576279.1669364,1541576279.1669364,1581505352.5772405,1581505352.5772405,1581505352.5772405,1581505352.5772405,1581505352.5772405,1581505352.5772405,1581505352.5772405,1627059309.0529523,1627059309.0529523,1627059309.0529523,1627059309.0529523,1627059309.0529523,1627059309.0529523,1627059309.0529523,1677737254.2434967,1677737254.2434967,1677737254.2434967,1677737254.2434967,1677737254.2434967,1677737254.2434967,1677737254.2434967,1734890381.4135969,1734890381.4135969
