,Type,Name,Amount,NPV
10,Financing cash outflow,Electrical Export system,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
11,Operating Expenses,Sales tax,"[-0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0.
 -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0.]",0.0
12,Operating Expenses,Credit card fees,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
13,Operating Expenses,Road tax,"[-0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0.
 -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0. -0.]",0.0
14,Operating Expenses,Installation cost,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0.0
15,Operating Expenses,Battery O&M Cost,"[ 0.     0.     0.     0.    42.888 42.888 42.888 42.888 42.888 42.888
 42.888 42.888 42.888 42.888 42.888 42.888 42.888 42.888 42.888 42.888
 42.888 42.888 42.888 42.888 42.888 42.888 42.888 42.888 42.888 42.888
 42.888 42.888 42.888 42.888]",1.0554373349659521e-08
16,Operating Expenses,Solar O&M Cost,"[   0.    0.    0.    0. 2001. 2001. 2001. 2001. 2001. 2001. 2001. 2001.
 2001. 2001. 2001. 2001. 2001. 2001. 2001. 2001. 2001. 2001. 2001. 2001.
 2001. 2001. 2001. 2001. 2001. 2001. 2001. 2001. 2001. 2001.]",4.924291427128498e-07
17,Operating Expenses,Non-depreciable assets,"[-1000000.       -0.       -0.       -0.       -0.       -0.       -0.
       -0.       -0.       -0.       -0.       -0.       -0.       -0.
       -0.       -0.       -0.       -0.       -0.       -0.       -0.
       -0.       -0.       -0.       -0.       -0.       -0.       -0.
       -0.       -0.       -0.       -0.       -0.       -0.]",8.203050853120937e-06
18,Operating Expenses,Cash on hand reserve,"[      0.               0.               0.               0.
 1383134.86620478  883766.3768057  1825130.6855669  1306614.0063707
  602420.8167925        0.               0.         2545948.6437491
  364527.24594          0.               0.               0.
       0.               0.               0.               0.
       0.               0.               0.               0.
       0.               0.               0.               0.
       0.               0.               0.               0.
       0.               0.        ]",7.310183746740337e-05
19,Financing cash outflow,Battery System,"[37000000.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.]",0.0003035128815654746
20,Operating Expenses,Property insurance,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.75549650e+07 1.25432123e+07 8.96272081e+06 6.40656325e+06
 4.36023400e+06 2.31624341e+06 2.69914158e+05 1.50000000e+04
 1.50000000e+04 1.50000000e+04 1.50000000e+04 1.50000000e+04
 1.50000000e+04 1.50000000e+04 1.50000000e+04 1.50000000e+04
 1.50000000e+04 1.50000000e+04 1.50000000e+04 1.50000000e+04
 1.50000000e+04 1.50000000e+04 1.50000000e+04 1.50000000e+04
 1.50000000e+04 1.50000000e+04 1.50000000e+04 1.50000000e+04
 1.50000000e+04 1.50000000e+04]",0.000432783553733991
21,Financing cash outflow,Solar System,"[99100000.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.        0.
        0.        0.        0.        0.        0.        0.]",0.0008129223395442848
22,Operating Expenses,Wind and Electrical Fixed O&M Cost,"[       0.                0.                0.                0.
 41275125.28167661 41275125.28167661 41275125.28167661 41275125.28167661
 41275125.28167661 41275125.28167661 41275125.28167661 41275125.28167661
 41275125.28167661 41275125.28167661 41275125.28167661 41275125.28167661
 41275125.28167661 41275125.28167661 41275125.28167661 41275125.28167661
 41275125.28167661 41275125.28167661 41275125.28167661 41275125.28167661
 41275125.28167661 41275125.28167661 41275125.28167661 41275125.28167661
 41275125.28167661 41275125.28167661 41275125.28167661 41275125.28167661
 41275125.28167661 41275125.28167661]",0.010157458549635923
23,Financing cash outflow,Wind System,"[1.423008e+09 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00]",0.011673006988397917
24,Financing cash outflow,Income taxes payable,"[       0.                0.                0.                0.
        0.                0.                0.         17100018.80370041
 26375397.85521042 26941652.47248162 27428246.18151161 58234544.06450082
 62608871.01578081 62608871.01578081 62608871.01578081 62608871.01578081
 62608871.01578081 62608871.01578081 62608871.01578081 62608871.01578081
 62608871.01578081 62608871.01578081 62608871.01578081 62608871.01578081
 62608871.01578081 62608871.01578081 62608871.01578081 62608871.01578081
 62608871.01578081 62608871.01578081 62608871.01578081 62608871.01578081
 62608871.01578081 62608871.01578081]",0.012579173585197485
25,Financing cash outflow,Dividends paid,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -2.66547123e+08 -2.56441295e+08 -2.33598362e+08 -2.18437511e+08
 -2.11912654e+08 -2.14115956e+08 -2.15682525e+08 -1.82455214e+08
 -1.80262309e+08 -1.80626836e+08 -1.80626836e+08 -1.80626836e+08
 -1.80626836e+08 -1.80626836e+08 -1.80626836e+08 -1.80626836e+08
 -1.80626836e+08 -1.80626836e+08 -1.80626836e+08 -1.80626836e+08
 -1.80626836e+08 -1.80626836e+08 -1.80626836e+08 -1.80626836e+08
 -1.80626836e+08 -1.80626836e+08 -1.80626836e+08 -1.80626836e+08
 -1.80626836e+08 -1.90285256e+08]",0.04743229528507558
26,Operating Revenue,Take or pay revenue,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
27,Operating Revenue,Incidental revenue,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
28,Financing cash inflow,Inflow of debt,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
29,Financing cash inflow,One time capital incentive,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
30,Financing cash inflow,Annual operating incentives,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
31,Operating Revenue,Sale of non-depreciable assets,"[     0.              0.              0.              0.
      0.              0.              0.              0.
      0.              0.              0.              0.
      0.              0.              0.              0.
      0.              0.              0.              0.
      0.              0.              0.              0.
      0.              0.              0.              0.
      0.              0.              0.              0.
      0.         999999.99999976]",8.20305085311898e-06
32,Operating Revenue,Cash on hand recovery,"[       0.                0.                0.                0.
        0.                0.                0.                0.
        0.          -123144.6642274   -129977.9617475         0.
        0.                0.                0.                0.
        0.                0.                0.                0.
        0.                0.                0.                0.
        0.                0.                0.                0.
        0.                0.                0.                0.
        0.         -8658420.01545478]",7.310183746740337e-05
33,Financing cash inflow,Monetized tax losses,"[        0.                 0.                 0.
         0.         -42234515.77521919 -26617566.58755078
  -1135506.83874799         0.                 0.
         0.                 0.                 0.
         0.                 0.                 0.
         0.                 0.                 0.
         0.                 0.                 0.
         0.                 0.                 0.
         0.                 0.                 0.
         0.                 0.                 0.
         0.                 0.                 0.
         0.        ]",0.0005741117533073896
34,Financing cash inflow,Inflow of equity,"[1.560108e+09 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00]",0.012797645260360797
35,Operating Revenue,electricity sales,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.84527876e+08 2.84527876e+08 2.84527876e+08 2.84527876e+08
 2.84527876e+08 2.84527876e+08 2.84527876e+08 2.84527876e+08
 2.84527876e+08 2.84527876e+08 2.84527876e+08 2.84527876e+08
 2.84527876e+08 2.84527876e+08 2.84527876e+08 2.84527876e+08
 2.84527876e+08 2.84527876e+08 2.84527876e+08 2.84527876e+08
 2.84527876e+08 2.84527876e+08 2.84527876e+08 2.84527876e+08
 2.84527876e+08 2.84527876e+08 2.84527876e+08 2.84527876e+08
 2.84527876e+08 2.84527876e+08]",0.07001989915299853
